Age,Edu,lnk,grp
28,14,-6.066188093,1
19,12,-3.288761952,1
41,16,-4.491289153,1
26,14,-3.912023005,1
30,12,-6.997679987,1
54,12,-12.64923962,1
38,16,-2.816749618,1
18,12,-7.61906643,1
37,13,-9.439753536,1
25,12,-2.753570716,1
49,13,-2.171556831,1
41,12,-6.96432563,1
56,14,-4.810965099,1
43,14,-4.528209145,1
50,12,-7.355606104,1
55,12,-8.458924283,1
28,12,-7.315723517,1
38,11,-4.406319327,1
20,13,-4.406319327,1
29,12,-3.844364357,1
31,11,-1.655481851,1
55,14,-6.615085665,1
52,14,-6.096825063,1
40,12,-4.034190639,1
34,12,-5.96384938,1
33,12,-7.554018874,1
24,11,-8.421883012,1
36,10,-5.199377419,1
35,11,-3.713172147,1
44,9,-4.350527968,1
20,11,-6.998774677,1
24,12,-12.79305963,1
18,11,-5.536574556,1
21,15,-5.278514739,1
18,12,-5.513988903,1
56,12,-5.11266802,1
20,13,-8.232014249,1
37,13,-9.061920367,1
35,12,-7.565535316,1
23,11,-8.381788554,1
49,10,-6.239925906,1
20,14,-7.317228408,1
18,14,-12.69709564,1
23,14,-6.180206672,1
21,15,-9.212342375,1
27,12,-9.210340372,1
21,12,-5.792613688,1
31,12,-8.818298284,1
36,12,-6.759335274,1
38,12,-3.125840959,1
25,13,-5.097451767,2
50,10,-4.502326812,2
58,11,1.668097714,2
49,13,-1.537773691,2
41,12,-1.504758695,2
45,12,-0.071114035,2
28,12,-5.486280862,2
53,15,-7.882797485,2
24,14,3.186864024,2
39,13,-4.737992996,2
30,12,-2.872077956,2
50,11,-2.080292626,2
57,16,-6.33586157,2
47,7,-4.21344617,2
50,12,-4.290191046,2
57,13,-4.707051968,2
21,12,-4.212193224,2
49,12,-4.043425757,2
25,10,-0.977159482,2
41,14,-0.190682501,2
56,16,-5.40457885,2
25,13,-5.449989059,2
52,12,-5.850766202,2
40,13,-7.044538295,2
31,12,-2.717909372,2
58,11,-5.825332236,2
36,12,-7.477437891,2
34,12,-7.540667735,2
57,16,-6.678437664,2
41,14,-7.514450381,2
48,15,-2.419653868,2
54,15.5,-11.05083218,2
41,12,-3.606012477,2
21,15,-8.877438497,2
39,15,-7.174643185,2
52,12,-7.189297583,2
23,14,-7.046704525,2
38,12,-3.619163376,2
25,11,-5.285475325,2
41,16,-5.337325927,2
51,16,-2.756651633,2
44,12,-5.140424708,2
50,16,-7.404182292,2
55,12,-3.041599265,2
22,12,-7.390745172,2
32,15,-8.66021113,2
25,13,-6.421622383,2
48,12,-4.759138502,2
56,12,-2.671123122,2
49,13,-6.609307136,2
24,16,-4.213397251,2
53,15,-3.940794744,2
60,12,-2.633231455,2
29,13,0.864803627,2
35,13,-5.860512042,2
51,11,-3.61505975,6
47,18,-5.513630449,6
34,12,-8.200616192,1
50,12,-2.963110633,2
65,16,-0.707217664,1
41,11,-4.076401273,1
53,14,-3.745662297,6
54,20,-2.108673454,1
50,13,-1.861674474,1
45,14,-3.629175657,1
56,13,-4.283645987,4
35,14,-4.32099561,1
38,12,-2.479137,2
45,14,-1.848304,2
54,11,0.122229,6
50,12,-1.747851,4
47,18,-2.239006889,6
48,12,-1.010192156,6
44,12,-2.259773893,6
28,16,-8.094239928,1
24,15,-5.512783717,1
44,12,-0.559209625,4
35,12,-2.625526089,6
48,12,-6.364326767,6
48,12,-0.599460147,4
35,12,-0.180458176,6
46,12,-2.323037522,6
37,12.5,-3.705822727,6
57,12,-3.348749019,6
49,12,1.328242588,6
47,16,-2.591643202,4
50,8,-4.511673203,6
53,12,-2.526345342,6
52,12,-4.685724637,4
54,14,-2.080470149,6
28,13,-1.10339484,6
25,14,-4.511918645,2
55,12,-1.250631357,4
23,12,-3.883784152,2
42,12,-4.907873232,6
44,12,-0.736740265,6
38,12,-4.054361374,6
23,12,-3.058508011,6
32,11,0.091263424,6
29,12,-3.745286168,1
53,18,-3.794930597,1
51,10,-4.29287683,2
42,12,-2.174018914,4
33,11,-0.509135189,6
53,16,-9.091042356,1
47,12,-3.904783048,6
48,11,-3.074342426,1
57,12,2.9754503,4
28,12,-0.830654142,6
28,12,-2.357318165,4
25,14,-6.62858403,1
43,16,-8.945835256,1
51,8,-1.519157535,1
26,14,-4.8207688,2
63,16,-6.612407693,1
41,12,1.050365721,6
21,14,-5.895494247,1
43,14,-6.147815783,1
20,10,-2.835909758,1
38,17,-6.822415292,1
29,16,-5.657904869,1
23,16,-8.902016496,1
22,22,-8.858429841,1
23,16,-8.466083372,1
56,16,-3.895860615,2
19,12,0.188673506,2
45,16,-5.335894545,2
56,11,-0.933637488,2
57,12,-1.885242999,2
41,12,-4.094441763,2
59,14,-3.192272903,2
39,12,-5.909708009,2
27,14,-5.724261708,2
33,14,-5.467700688,2
38,12,-7.367429158,2
41,14,0.115912587,2
48,13,-5.299624801,2
26,7,-2.666713922,2
50,12,-1.821376843,2
35,14,-6.573361661,2
58,15,-8.993054509,2
49,12,-3.216647688,2
27,16,-7.611832599,2
24,18,-6.549866733,2
40,10,-3.590787138,2
50,13,-6.209598248,2
25,12,-3.255577851,2
21,14,-8.305407666,2
32,12,-4.818787733,2
53,12,-6.578088329,2
25,14,-9.850375414,2
18,12,-8.125837832,2
23,12.5,-3.935555445,2
46,14.5,-10.11270792,2
39,16,-7.489123656,2
58,13,-2.702923013,2
55,13,-7.439902651,2
43,10,-9.180022323,2
43,11,-3.084156191,5
48,12,-6.75211339,5
19,13,-6.995599791,3
40,18,-3.826568904,5
25,12,-4.508644067,5
38,7,3.700624751,5
29,13,-7.061466827,1
20,14,-7.058209771,1
25,11,-2.588359691,5
19,13,0.892489096,2
28,13,-5.454140785,1
19,13,-1.143266223,1
30,16,-5.499111422,1
36,16,-5.339836249,2
44,16,-1.81384798,3
35,12,-6.170293284,5
45,12,-1.026849334,1
48,12,-4.844005559,1
32,16,-9.870817522,1
45,16,-8.396787409,1
32,18,-3.936821814,1
48,14,-1.995515345,1
46,12,-5.441537751,3
57,12,-2.363037519,5
25,13,-6.8125134,1
20,11,-1.965542717,5
34,16,-5.689065567,2
41,16,-7.405471798,1
44,8,-6.001136117,3
60,13.5,-7.968302766,3
54,14,-0.513845248,1
21,15,-5.849069503,3
20,13,-8.764314193,3
41,12,-10.88644345,5
60,12,-5.743976268,3
56,13.5,-5.457679863,1
23,16,-6.494832959,1
52,16,-5.860304363,5
39,14,-1.142677363,5
25,14,-7.014868767,1
24,14,-2.089089738,5
34,12,-1.2279429,5
38,16,-6.728524481,1
47,13,-2.399550032,2
22,15.5,-9.261733002,1
44,18,-6.896151703,5
50,12,-3.01190042,3
50,12,-2.05610003,2
22,17,-4.485268141,5
22,14,-6.843027091,5
44,12,-4.627470021,5
53,13,-2.574921073,3
36,12,-5.8110645,3
49,12,-10.03797655,2
21,15,-8.949561715,1
50,14,-5.64589922,2
53,12,0.349440422,2
21,12,-4.225001896,2
63,16,-8.288170021,2
46,11,-2.955427582,2
60,15,-1.113788876,2
30,12,-0.836403088,2
38,12,-5.734003101,2
22,12,-9.66677359,2
38,14,-4.07741886,2
25,13,-6.545575622,2
32,12,-4.804907974,2
42,14,-6.110703381,2
48,12,-8.119431458,2
25,12,-5.612551164,1
26,17,-3.885612344,1
32,16,-4.749081754,1
25,12,-3.022142935,1
32,14,-4.749081754,1
43,16,-4.749081754,1
37,14,-5.900374301,1
21,13,-3.885612344,1
23,12,-5.036904891,1
38,17,-8.922517235,1
25,14,-6.763843711,1
23,16,-6.476020574,1
22,16,-7.915136257,1
22,12,-5.900374301,1
28,17,-4.749081754,1
31,12,-3.795369729,2
19,12,-3.265668319,2
53,16,-3.924600937,2
56,16,-7.074107655,2
59,15,0.027619473,2
38,12,-6.466587185,2
31,14,-2.485949305,2
30,13,-6.400937677,3
22,14.5,-6.250235276,7
48,12,-5.051457289,3
51,13.5,-1.018877321,5
40,10,-5.71080709,5
31,12,-5.208476663,8
44,11,-7.028793607,8
64,17,-0.78745786,8
55,12,-2.65498348,8
31,12.5,-5.286388796,5
40,14,-10.25446448,4
28,12,-5.470292631,7
42,12,-4.186459851,8
42,12,-4.206394066,8
26,12,-5.306349538,8
40,12,-4.802402356,5
40,11,-4.482952553,7
46,16,-5.704782975,5
36,12,-0.996958635,5
54,14,-4.213128098,3
41,12,-0.537854296,7
50,13,-6.110248083,4
41,11,-3.257097038,6
51,12,-4.474141924,5
49,14.5,-4.398156017,8
48,14,-4.414549826,3
48,12,-6.93718409,5
23,12,1.979621206,5
45,12,-3.460947386,5
52,14,-5.506572305,5
31,14,-4.09234656,5
48,16,-5.234404041,8
55,15,-6.733801972,3
48,15,-3.363901597,6
54,12,-3.448288989,6
29,16,-8.752915525,7
50,12,-3.460947386,8
50,13,-5.294325345,5
54,13,-9.348453674,3
42,15,-5.97166192,5
42,12,-4.335143049,8
34,16,-2.999740295,6
56,12,-4.358310108,8
49,12,-3.144232282,5
44,12,-2.642262461,3
44,12,-4.199705078,8
52,13.5,-3.445149269,5
52,12,-4.742136041,8
61,14,-6.128430402,8
30,13.5,-6.388961486,3
50,12,-6.868534566,8
44,12,-3.473768074,5
52,11,4.143134726,3
50,12,-8.105083541,6
50,11,-3.139602644,8
42,12,-1.509592577,7
52,16,-5.386056281,3
39,11,-8.360189443,5
44,12,-4.000854219,7
50,15.5,-9.365825275,4
46,12,-2.999740295,8
48,12,-1.027222293,5
25,11,-3.338222583,6
58,12,-4.634598997,5
41,11,-2.253794929,4
48,12,-6.529318843,5
36,12,-5.729100283,3
61,14,-3.445149269,4
48,12,-5.615771597,5
39,9,-1.251763468,7
55,12,-6.032286542,4
30,12,-4.275866439,5
55,12,-4.645992181,5
52,14,-5.234404041,8
52,12,-5.259096653,5
37,13,-6.668738379,8
57,10,-4.844697217,8
34,12,-3.206453305,8
29,13,-7.836624793,8
44,13.5,-4.911695346,7
45,9,-7.885921415,8
31,12,-3.597212266,7
47,12,-6.993313167,8
